album_id,album_name,album_release_date,album_tracks,album_external_url
3smvpv7CdrhVcGYaNDLOqn,Despacito Feat. Justin Bieber (Remix),2017-04-17,1,https://open.spotify.com/album/3smvpv7CdrhVcGYaNDLOqn
7mRliFLzSnVPzjO0sSy3ar,I'm the One,2017-04-27,1,https://open.spotify.com/album/7mRliFLzSnVPzjO0sSy3ar
3T4tUhGYeRNVUGevb0wThu,÷ (Deluxe),2017-03-03,16,https://open.spotify.com/album/3T4tUhGYeRNVUGevb0wThu
4eLPsYPBmXABThSJ821sqY,DAMN.,2017-04-14,14,https://open.spotify.com/album/4eLPsYPBmXABThSJ821sqY
4YtTX4GPvBvewbJvBfXCS2,FUTURE,2017-08-04,17,https://open.spotify.com/album/4YtTX4GPvBvewbJvBfXCS2
4JPguzRps3kuWDD5GS6oXr,Memories...Do Not Open,2017-04-07,12,https://open.spotify.com/album/4JPguzRps3kuWDD5GS6oXr
0VMGOBhLrC5Q2bfZnrocVN,Stay,2017-02-23,1,https://open.spotify.com/album/0VMGOBhLrC5Q2bfZnrocVN
0IUCAsckpNyV4wHKIHQawC,It Ain't Me (with Selena Gomez),2017-02-16,1,https://open.spotify.com/album/0IUCAsckpNyV4wHKIHQawC
2e5CxfyEwBW115beiwh7Mc,Swalla (feat. Nicki Minaj & Ty Dolla $ign),2017-02-23,1,https://open.spotify.com/album/2e5CxfyEwBW115beiwh7Mc
7CUczABBlsbd5fqng9mjxo,Malibu,2017-05-11,1,https://open.spotify.com/album/7CUczABBlsbd5fqng9mjxo
5yYFrOnqG8cEciKnsxHz2r,Illuminate (Deluxe),2017-04-20,16,https://open.spotify.com/album/5yYFrOnqG8cEciKnsxHz2r
4PgleR09JVnm3zY1fW3XBA,24K Magic,2016-11-17,9,https://open.spotify.com/album/4PgleR09JVnm3zY1fW3XBA
4b13SJlne61y53KSEwuQtD,Symphony (feat. Zara Larsson),2017-03-16,1,https://open.spotify.com/album/4b13SJlne61y53KSEwuQtD
1HV4uCbhCicfl07dm2WvU0,Despacito (Featuring Daddy Yankee),2017-01-13,1,https://open.spotify.com/album/1HV4uCbhCicfl07dm2WvU0
0t0NkQulrNkxw2oUZZHboA,Attention,2017-04-20,1,https://open.spotify.com/album/0t0NkQulrNkxw2oUZZHboA
7Ix0FS4f1lK42C3rix5rHg,More Life,2017-03-18,22,https://open.spotify.com/album/7Ix0FS4f1lK42C3rix5rHg
1FZKIm3JVDCxTchXDo5jOV,Harry Styles,2017-05-12,10,https://open.spotify.com/album/1FZKIm3JVDCxTchXDo5jOV
4CZVGlURM8vncG4ftZULTS,XO TOUR Llif3,2017-03-24,1,https://open.spotify.com/album/4CZVGlURM8vncG4ftZULTS
6wu7tiTr8zchRG7PWwTOK1,First Time,2017-04-28,1,https://open.spotify.com/album/6wu7tiTr8zchRG7PWwTOK1
6pFZVwBPXj3m4dyaKcnVev,Felices los 4,2017-04-21,1,https://open.spotify.com/album/6pFZVwBPXj3m4dyaKcnVev
1udLKdsDr7GRmJU6Cxyt7j,Unforgettable,2017,1,https://open.spotify.com/album/1udLKdsDr7GRmJU6Cxyt7j
1FulpD9JiAPbqP2F31pmUP,Issues,2017-01-13,1,https://open.spotify.com/album/1FulpD9JiAPbqP2F31pmUP
2v9rQe4F8fVSh5v8bAq0jF,Scared to Be Lonely,2017-01-27,1,https://open.spotify.com/album/2v9rQe4F8fVSh5v8bAq0jF
1UIlzhqJLiA3f6OVw7QKn6,Slide (feat. Frank Ocean & Migos),2017-02-24,1,https://open.spotify.com/album/1UIlzhqJLiA3f6OVw7QKn6
5s0rmjP8XOPhP6HhqOhuyC,Stoney (Deluxe),2016-12-09,18,https://open.spotify.com/album/5s0rmjP8XOPhP6HhqOhuyC
6301sWkK7hVwcrhcEwKPcH,No Promises (feat. Demi Lovato),2017-03-31,1,https://open.spotify.com/album/6301sWkK7hVwcrhcEwKPcH
1HiN2YXZcc3EjmVZ4WjfBk,Everybody,2017-05-05,13,https://open.spotify.com/album/1HiN2YXZcc3EjmVZ4WjfBk
0VvK3TRKSJTk2FR4bzCV1w,Thunder,2017-04-27,1,https://open.spotify.com/album/0VvK3TRKSJTk2FR4bzCV1w
2Ib7wM5qXKXDzZFhzNQ7TG,SUBEME LA RADIO (feat. Descemer Bueno & Zion & Lennox),2017-02-24,1,https://open.spotify.com/album/2Ib7wM5qXKXDzZFhzNQ7TG
6jO7hs4GsF6924w10xQTyA,Pretty Girl (Cheat Codes X CADE Remix),2017-03-03,1,https://open.spotify.com/album/6jO7hs4GsF6924w10xQTyA
6qIOlt2SVkfs9NynvpaQ1j,Me Rehúso,2016-09-16,1,https://open.spotify.com/album/6qIOlt2SVkfs9NynvpaQ1j
7Bh5oQckPzHqO7GHVGY5LE,The Cure,2017-04-16,1,https://open.spotify.com/album/7Bh5oQckPzHqO7GHVGY5LE
15qLmAABocTCRBSbWWqL7K,iSpy (feat. Lil Yachty),2016-12-02,1,https://open.spotify.com/album/15qLmAABocTCRBSbWWqL7K
5PO2cqkBjAUOSHdxSDJOL4,Good Life (with G-Eazy & Kehlani),2017-03-16,1,https://open.spotify.com/album/5PO2cqkBjAUOSHdxSDJOL4
2wSBV9N0cNgaDc5X3ljnVo,Now Or Never,2017-04-04,1,https://open.spotify.com/album/2wSBV9N0cNgaDc5X3ljnVo
3KzCJaaRVza9FnSsqtAFeO,Believer,2017-01-31,1,https://open.spotify.com/album/3KzCJaaRVza9FnSsqtAFeO
6kf46HbnYCZzP6rjvQHYzg,American Teen,2017-04-27,15,https://open.spotify.com/album/6kf46HbnYCZzP6rjvQHYzg
3meZFplbMmji648oWUNEfQ,Rockabye (feat. Sean Paul & Anne-Marie),2016-10-21,1,https://open.spotify.com/album/3meZFplbMmji648oWUNEfQ
4pZbAcipxqdFcwjiFkuwes,Call On Me (Remixes),2016-10-14,8,https://open.spotify.com/album/4pZbAcipxqdFcwjiFkuwes
6nt2urfBROkUQWnzpSOohu,Rollin (feat. Future & Khalid),2017-05-12,1,https://open.spotify.com/album/6nt2urfBROkUQWnzpSOohu
5MxXY7DbFMUiHFTPUabgJJ,I Don’t Wanna Live Forever (Fifty Shades Darker),2016-12-09,1,https://open.spotify.com/album/5MxXY7DbFMUiHFTPUabgJJ
7oYKSApfrPWuKk8aH6rH7t,Cold,2017-02-14,1,https://open.spotify.com/album/7oYKSApfrPWuKk8aH6rH7t
4AdZV63ycxFLF6Hcol0QnB,Starboy,2016-11-24,18,https://open.spotify.com/album/4AdZV63ycxFLF6Hcol0QnB
2dBgWXp41imu2zBNv9oFxZ,Fénix,2017-01-20,26,https://open.spotify.com/album/2dBgWXp41imu2zBNv9oFxZ
5pnuFhf3CzEEscRgST09H5,You Don't Know Me,2016-12-09,1,https://open.spotify.com/album/5pnuFhf3CzEEscRgST09H5
7BJ02LuWRn3RH7yDHZAJr2,Slow Hands,2017-05-04,1,https://open.spotify.com/album/7BJ02LuWRn3RH7yDHZAJr2
3BcNHuKlAm57APDcwh7LJq,Solo Dance,2016-11-04,1,https://open.spotify.com/album/3BcNHuKlAm57APDcwh7LJq
0PUhdd2AlyEACcz4f0RiiK,Bon Appétit,2017-04-28,1,https://open.spotify.com/album/0PUhdd2AlyEACcz4f0RiiK
5uWJP1QRmJemAFD3JH2LOG,Escápate Conmigo,2017-03-31,1,https://open.spotify.com/album/5uWJP1QRmJemAFD3JH2LOG
7oiJYvEJHsmYtrgviAVIBD,Back from the Edge,2016-10-28,17,https://open.spotify.com/album/7oiJYvEJHsmYtrgviAVIBD
1lXY618HWkwYKJWBRYR4MK,More Life,2017-03-18,22,https://open.spotify.com/album/1lXY618HWkwYKJWBRYR4MK
6UzYYTKQHXXNH67rawar3X,Ahora Dice,2017-03-17,1,https://open.spotify.com/album/6UzYYTKQHXXNH67rawar3X
1SUC3BzNqa5Kna2bZAsAK8,Strange Trails,2015-04-06,14,https://open.spotify.com/album/1SUC3BzNqa5Kna2bZAsAK8
12R3FRl2DbibkbOuXwXvxp,Tuesday (feat. Danelle Sandoval),2016-06-17,1,https://open.spotify.com/album/12R3FRl2DbibkbOuXwXvxp
620wwdsvJGaC4uh8Fj416Y,Hey Ma (with Pitbull & J Balvin feat. Camila Cabello),2017-03-09,1,https://open.spotify.com/album/620wwdsvJGaC4uh8Fj416Y
0rSLgV8p5FzfnqlEk4GzxE,Closer,2016-07-29,1,https://open.spotify.com/album/0rSLgV8p5FzfnqlEk4GzxE
5mG8oNkNKM2my7t9ywra96,Painting Pictures,2017-03-31,18,https://open.spotify.com/album/5mG8oNkNKM2my7t9ywra96
2kGUeTGnkLOYlinKRJe47G,Still Got Time (feat. PARTYNEXTDOOR),2017-03-23,1,https://open.spotify.com/album/2kGUeTGnkLOYlinKRJe47G
4D6OyZ4Q57vH7gul8PVzTv,Most Girls,2017-04-28,1,https://open.spotify.com/album/4D6OyZ4Q57vH7gul8PVzTv
3EwBqZP15qaDl3B6DuWXZ7,Chantaje,2016,1,https://open.spotify.com/album/3EwBqZP15qaDl3B6DuWXZ7
42WVQWuf1teDysXiOupIZt,Birds In The Trap Sing McKnight,2016-09-16,14,https://open.spotify.com/album/42WVQWuf1teDysXiOupIZt
09fggMHib4YkOtwQNXEBII,Starboy,2016-11-25,18,https://open.spotify.com/album/09fggMHib4YkOtwQNXEBII
1P8NvRvykmDrKyfglMerMv,HNDRXX,2017-08-04,17,https://open.spotify.com/album/1P8NvRvykmDrKyfglMerMv
2LYwooMTH1iJeBvWyXXWUf,Energía,2016-06-24,15,https://open.spotify.com/album/2LYwooMTH1iJeBvWyXXWUf
2AvupjUeMnSffKEV05x222,Culture,2017-04-07,13,https://open.spotify.com/album/2AvupjUeMnSffKEV05x222
3hARKC8cinq3mZLLAEaBh9,Views,2016-05-06,20,https://open.spotify.com/album/3hARKC8cinq3mZLLAEaBh9
2N7kidh1wA9EoLdf16QWrz,Body Like A Back Road,2017-02-01,1,https://open.spotify.com/album/2N7kidh1wA9EoLdf16QWrz
4PtHrEv5SyIVsdbMKi6Vkg,September Song,2016-09-16,1,https://open.spotify.com/album/4PtHrEv5SyIVsdbMKi6Vkg
3spLScHh3MUrplyauEMtWI,Hey DJ,2017-04-07,1,https://open.spotify.com/album/3spLScHh3MUrplyauEMtWI
1VIX8YDyQOaUhWpHhP6Ttu,Chained To The Rhythm,2017-02-10,1,https://open.spotify.com/album/1VIX8YDyQOaUhWpHhP6Ttu
0XAIjjN5qxViVS0Y5fYkar,I Decided.,2017-02-03,14,https://open.spotify.com/album/0XAIjjN5qxViVS0Y5fYkar
55bbXORm6ZrVq52zfZnxBf,Encore,2016-08-05,14,https://open.spotify.com/album/55bbXORm6ZrVq52zfZnxBf
22lEQJ7khtB2yvsq84FDQb,Motivan2,2016-09-30,18,https://open.spotify.com/album/22lEQJ7khtB2yvsq84FDQb
2GJLzxAajkFeyDPVH7X4Cs,Glory Days (Deluxe),2016-11-18,15,https://open.spotify.com/album/2GJLzxAajkFeyDPVH7X4Cs
3cyyJALrHc8LawnQNFYRWL,Look At Me!,2017-02-20,1,https://open.spotify.com/album/3cyyJALrHc8LawnQNFYRWL
2l3HIzSVnACXyTc2SduFOI,digital druglord,2017-04-21,10,https://open.spotify.com/album/2l3HIzSVnACXyTc2SduFOI
7pyHLzYSyH7A4VW3tOFxNk,La Rompe Corazones,2017-01-13,1,https://open.spotify.com/album/7pyHLzYSyH7A4VW3tOFxNk
0JjoGwsBjce2mgHRliH0VN,9,2017-04-28,10,https://open.spotify.com/album/0JjoGwsBjce2mgHRliH0VN
7GxsxPFTZANnpsAONtZlHQ,No Vacancy,2017-04-28,1,https://open.spotify.com/album/7GxsxPFTZANnpsAONtZlHQ
3Nuw6arrA8kVwhIvyGbiku,HAIZ,2016-07-15,6,https://open.spotify.com/album/3Nuw6arrA8kVwhIvyGbiku
64ph8p01P5H46Cs149uNyc,What Everyone's Thinking,2017-01-20,5,https://open.spotify.com/album/64ph8p01P5H46Cs149uNyc
4xnq1L6P551Qcb9gBXNMK7,"""Awaken, My Love!""",2016-12-02,11,https://open.spotify.com/album/4xnq1L6P551Qcb9gBXNMK7
3Jvd3wjRENrLxPgUxQ5Exz,Green Light,2017-03-02,1,https://open.spotify.com/album/3Jvd3wjRENrLxPgUxQ5Exz
3NzslyWsrSJXTNNZbQMBWS,Tu Foto,2017-04-27,1,https://open.spotify.com/album/3NzslyWsrSJXTNNZbQMBWS
2ucmNNr2Y9ZI7fP4oAMdIj,Sola (Remix),2016-12-01,1,https://open.spotify.com/album/2ucmNNr2Y9ZI7fP4oAMdIj
5PK9tQ7Ou1AvIww8zRn3SL,Whippin (feat. Felix Snow),2017-04-12,1,https://open.spotify.com/album/5PK9tQ7Ou1AvIww8zRn3SL
